mask	máscara
shirt	camisa
belt	cinturón
sweater	jersey
hat	sombrero
skirt	falda
gloves	guantes
shoes	zapatillas
sandals	sandalias
trainers	deportivas
jeans	vaqueros
tie	corbata
scarf	bufanda
costume	disfraz
tunic	túnica
school uniform	uniforme escolar
trousers	pantalones
t-shirt	camiseta
boots	botas
shorts	pantalón corto
band	grupo musical
balloon	globo
carnival	carnaval
ribbons	lazos
metal	metal
parade	desfile
silver	plata
play drums	tocar tambores
tennis star	estrella de tenis
famous	famoso
fantastic	fantástico
beard	barba
photographers	fotógrafos
pony tail	coleta
curly hair	pelo rizado
straight hair	pelo liso
earrings	pendientes
moustache	bigote
