action	acción
adventure	aventura
all over	pot todo
amazing	sorprendente
animated	animado
appear	aparecer
attach	adjuntar
barnacle	percebe
bat	murciélago
blood	sangre
boring	aburrido
channel	canal
choice	elección 
choose	elegir
comedy	comedia
correct	correcto
count	recuento
creature	criatura
definitely	seguramente
disgusting	desagradable
drama	teatro
educational	educativo
enjoyable	agradable
exciting	emocionante
fact	hecho
fair	rubio
flag	bandera
frightening	espantoso
garlic	ajo
get old	envejecer
harm	daño
stay	quedarse
history	historia
horror	horror
instead of	en vez que
interesting	interesante
jump out	saltar fuera
look after	cuidar
look at	mirar
look for	buscar
look forward to	desear
look up something	buscar algo
maybe	quizás
miss	echar de menos
musical	musical
old-fashioned	pasado de moda
predict	predecir
realistic	realista
romance	romance
safe	seguro
science fiction	ciencia ficción
shout	gritar
silly	tonto
special	especial
stay	quedarse
stay away from	mantenerse lejos de
stay here	quedarse aquí
stay in	quedarse en casa
story	historia
suddenly	de repente
suggest	sugerir
surprising	sorprendentemente 
tentacle	tentáculo
terrible	terrible
towards	hacia
twilight	crepúsculo
unusual	inusual
vampire	vampiro
watch out	tener cuidado
western	del oeste
