j´ai	yo tengo
tu as	tu tienes
il a	el tiene
nous avons	nosotros tenemos
vous avez	vosotros teneís
ils ont	ellos tienen 
je suis	yo soy
tu es	tu eres
il est	el es
nous sommes	nosotros somos
vous êtes	vosotros sois
ils sont	ellos son 
je m´appelle	yo me llamo
tu t´appelles	tu te llamas
il s´appelle	el se llama
nous nous appellons	nosotros nos llamamos
vous vous appellez	vosotros os llamáis
ils s´appellent	ellos se llaman
je vais	tu vas
tu vas	tu vas
il va	el va
nous allons	nosotros vamos
vous allez	vosotros vais
ils vont	ellos van
je fais	yo hago
tu fais	tu haces
il fait	el hace
nous faisons	nosotros hacemos
vous faites	vosotros hacéis
ils font	ellos hacen
je prends	yo cojo
tu prends	tu coges
il prend	el coge
nous prenons	nosotros cogemos
vous prenez	vosotros cogeis
ils prennent	ellos cogen
